station,arrondissement,mm,dd,wday,AM,tot,temp,precip
Ste-Catherine / Dezery,Mercier - Hochelaga-Maisonneuve,10,21,Saturday,6,47,11.6,14.6
Métro Cadillac (Cadillac / Sherbrooke),Mercier - Hochelaga-Maisonneuve,8,6,Sunday,0,32,21.5,0
Parc LaSalle (10e avenue / Victoria),Lachine,6,28,Wednesday,2,10,19.9,8.1
Nicolet / Sherbrooke,Mercier - Hochelaga-Maisonneuve,5,1,Monday,0,22,9.3,13.7
Letourneux / Ste-Catherine,Mercier - Hochelaga-Maisonneuve,9,28,Thursday,18,71,15.1,0
St-Charles / Thomas-Keefer,Le Sud-Ouest,9,13,Wednesday,4,50,19.7,8.5
de Bellechasse / de St-Vallier,Rosemont - La Petite-Patrie,6,13,Tuesday,1,52,19,13.8
Valois / Ste-Catherine,Mercier - Hochelaga-Maisonneuve,5,16,Tuesday,15,34,9.2,4.5
St-Dominique / St-Zotique,Rosemont - La Petite-Patrie,10,12,Thursday,44,194,10.7,0
de Bellechasse / de St-Vallier,Rosemont - La Petite-Patrie,5,17,Wednesday,6,58,5.2,0
de la Roche /  de Bellechasse,Rosemont - La Petite-Patrie,5,31,Wednesday,18,83,22.8,0.8
8e avenue / Notre-Dame Lachine,Lachine,7,16,Sunday,1,13,24.2,12.7
Graham / Wicksteed,Mont-Royal,10,28,Saturday,0,34,12.1,0.3
Dubois / Eadie,Le Sud-Ouest,8,9,Wednesday,9,45,22.1,0
Boyer / Beaubien,Rosemont - La Petite-Patrie,10,11,Wednesday,18,126,10.3,1.8
Boyer / Beaubien,Rosemont - La Petite-Patrie,10,12,Thursday,30,174,10.7,0
Bourgeoys / Favard,Le Sud-Ouest,8,19,Saturday,6,42,17.3,6.7
Dixie / 54e avenue,Lachine,8,17,Thursday,0,3,23.3,0.2
35e avenue / Beaubien,Rosemont - La Petite-Patrie,10,31,Tuesday,2,12,1.6,1.5
Dixie / 54e avenue,Lachine,10,19,Thursday,1,3,13.8,0.4
29e avenue / St-Zotique,Rosemont - La Petite-Patrie,5,10,Wednesday,7,38,15,0
Hamilton / Jolicoeur,Le Sud-Ouest,6,27,Tuesday,8,37,23.3,7.2
Métro Monk (Allard / Beaulieu),Le Sud-Ouest,9,29,Friday,7,61,15.7,0
Turgeon / Notre-Dame,Le Sud-Ouest,9,6,Wednesday,14,105,26.9,0
Darling / Sherbrooke,Rosemont - La Petite-Patrie,7,26,Wednesday,11,41,24.9,0
Dubois / Eadie,Le Sud-Ouest,7,6,Thursday,8,46,27.7,0
Ontario / Sicard,Mercier - Hochelaga-Maisonneuve,9,11,Monday,21,68,18.3,0
12e avenue / St-Zotique,Rosemont - La Petite-Patrie,8,8,Tuesday,11,52,22,6.6
8e avenue / Notre-Dame Lachine,Lachine,5,12,Friday,0,5,20.3,0
Bel Air / St-Antoine,Le Sud-Ouest,8,11,Friday,7,30,19.8,0
Rosemont / Viau,Rosemont - La Petite-Patrie,10,3,Tuesday,12,45,21.9,0
Parc Maisonneuve (Viau / Sherbrooke),Rosemont - La Petite-Patrie,10,20,Friday,6,60,15.5,0
Brittany / Ainsley,Mont-Royal,5,7,Sunday,0,30,16.5,0
Drolet / Beaubien,Rosemont - La Petite-Patrie,10,22,Sunday,0,51,7.4,8.4
Mozart / Waverly,Rosemont - La Petite-Patrie,8,30,Wednesday,6,42,17.8,30.3
des Ormeaux / de Grosbois,Mercier - Hochelaga-Maisonneuve,9,14,Thursday,2,14,13.9,0
5e avenue / Rosemont,Rosemont - La Petite-Patrie,9,7,Thursday,21,53,26.1,0
Métro Radisson (Sherbrooke / des Groseilliers),Mercier - Hochelaga-Maisonneuve,8,2,Wednesday,3,27,17.5,0
Louis-Hébert / de Bellechasse,Rosemont - La Petite-Patrie,8,3,Thursday,6,59,20.8,7.2
1ère avenue / Rosemont,Rosemont - La Petite-Patrie,10,5,Thursday,23,85,23.1,0
Fabre / St-Zotique,Rosemont - La Petite-Patrie,7,13,Thursday,15,75,23,36.1
Parc Honoré-Mercier (Notre-Dame / Liébert),Mercier - Hochelaga-Maisonneuve,8,12,Saturday,2,36,19.9,20.3
St-Germain / Hochelaga,Mercier - Hochelaga-Maisonneuve,6,21,Wednesday,6,36,20.8,0.2
Parc Kirkland (des Érables / Boyer),Lachine,5,22,Monday,2,17,10.8,0
Darling / Sherbrooke,Rosemont - La Petite-Patrie,8,15,Tuesday,7,55,21.2,0.5
Letourneux / Ste-Catherine,Mercier - Hochelaga-Maisonneuve,8,11,Friday,15,70,19.8,0
Métro Radisson (Sherbrooke / des Groseilliers),Mercier - Hochelaga-Maisonneuve,9,8,Friday,5,28,22.3,0
Chabot / Beaubien,Rosemont - La Petite-Patrie,7,18,Tuesday,7,85,22.8,10.2
Boyer / Beaubien,Rosemont - La Petite-Patrie,5,13,Saturday,7,180,13.5,0
5e avenue / Masson,Rosemont - La Petite-Patrie,9,30,Saturday,13,157,17.3,0.5
Ste-Catherine / Dezery,Mercier - Hochelaga-Maisonneuve,9,23,Saturday,7,68,16,0.2
de Léry / Sherbrooke,Mercier - Hochelaga-Maisonneuve,6,23,Friday,5,63,23.7,0.2
des Ormeaux / de Grosbois,Mercier - Hochelaga-Maisonneuve,10,27,Friday,0,7,17.2,0.3
Fortune / Wellington,Le Sud-Ouest,7,19,Wednesday,26,80,21.8,0
Valois / Ste-Catherine,Mercier - Hochelaga-Maisonneuve,8,7,Monday,13,66,20.5,2.8
Louis-Hébert / St-Zotique,Rosemont - La Petite-Patrie,5,22,Monday,4,31,10.8,0
Parc Maisonneuve (Viau / Sherbrooke),Rosemont - La Petite-Patrie,6,10,Saturday,9,100,17.6,0
Centre ÉPIC (St-Zotique / 40e avenue),Rosemont - La Petite-Patrie,6,13,Tuesday,1,35,19,13.8
Parc LaSalle (10e avenue / Victoria),Lachine,6,7,Wednesday,0,4,13.7,3.7
Marché Jean-Talon (Henri-Julien / Jean-Talon),Rosemont - La Petite-Patrie,5,27,Saturday,9,169,19.5,0
Métro Radisson (Sherbrooke / des Groseilliers),Mercier - Hochelaga-Maisonneuve,6,2,Friday,4,34,22.7,0
Ropery / Augustin-Cantin,Le Sud-Ouest,6,24,Saturday,1,60,22.8,22.5
Drolet / St-Zotique,Rosemont - La Petite-Patrie,9,4,Monday,3,85,24.6,0
16e avenue / St-Joseph,Rosemont - La Petite-Patrie,8,25,Friday,7,58,18.3,1.1
des Érables / Bélanger,Rosemont - La Petite-Patrie,10,8,Sunday,5,27,11.4,5.1
Métro Préfontaine (Moreau / Hochelaga),Mercier - Hochelaga-Maisonneuve,5,9,Tuesday,18,106,10.2,0
Dixie / 54e avenue,Lachine,5,3,Wednesday,0,1,8.1,1.2
Dixie / 54e avenue,Lachine,6,20,Tuesday,1,6,18.8,0
St-Ambroise / Louis-Cyr,Le Sud-Ouest,10,27,Friday,3,43,17.2,0.3
Desjardins / Ontario,Mercier - Hochelaga-Maisonneuve,8,28,Monday,16,75,18.9,0
des Ormeaux / de Grosbois,Mercier - Hochelaga-Maisonneuve,10,11,Wednesday,1,14,10.3,1.8
Duvernay / Charlevoix,Le Sud-Ouest,9,8,Friday,12,84,22.3,0
Chambord / Beaubien,Rosemont - La Petite-Patrie,6,22,Thursday,13,50,22.9,0.3
de Gaspé / Beaubien,Rosemont - La Petite-Patrie,9,17,Sunday,13,146,17.9,0
Valois / Ste-Catherine,Mercier - Hochelaga-Maisonneuve,6,7,Wednesday,17,61,13.7,3.7
Parc Stoney-Point (St-Joseph / 47e avenue),Lachine,7,12,Wednesday,1,7,21.9,0
Marché Jean-Talon (Henri-Julien / Jean-Talon),Rosemont - La Petite-Patrie,6,28,Wednesday,10,71,19.9,8.1
Ontario / Sicard,Mercier - Hochelaga-Maisonneuve,6,11,Sunday,3,54,20.3,0
Letourneux / Ste-Catherine,Mercier - Hochelaga-Maisonneuve,8,5,Saturday,1,66,20,0
Turgeon / Notre-Dame,Le Sud-Ouest,8,2,Wednesday,9,99,17.5,0
Parc Maisonneuve (Viau / Sherbrooke),Rosemont - La Petite-Patrie,10,29,Sunday,1,27,4.7,1
de Grosbois / Duchesneau,Mercier - Hochelaga-Maisonneuve,8,2,Wednesday,5,24,17.5,0
Valois / Ste-Catherine,Mercier - Hochelaga-Maisonneuve,6,13,Tuesday,3,50,19,13.8
Parc Père-Marquette (Chambord / Rosemont),Rosemont - La Petite-Patrie,8,14,Monday,37,104,20.4,0
Boyer / Beaubien,Rosemont - La Petite-Patrie,5,6,Saturday,12,207,15.6,0
des Ormeaux / Notre-Dame,Mercier - Hochelaga-Maisonneuve,10,25,Wednesday,3,5,14.9,3.3
de Gaspé / Dante,Rosemont - La Petite-Patrie,7,20,Thursday,4,61,21.8,0.3
Louis-Hébert / St-Zotique,Rosemont - La Petite-Patrie,6,4,Sunday,2,28,14.1,0
Ropery / Augustin-Cantin,Le Sud-Ouest,5,23,Tuesday,6,46,13.7,0
Louis-Hébert / de Bellechasse,Rosemont - La Petite-Patrie,9,4,Monday,4,65,24.6,0
des Érables / Bélanger,Rosemont - La Petite-Patrie,9,2,Saturday,6,39,20.3,0
Desjardins / Ontario,Mercier - Hochelaga-Maisonneuve,6,14,Wednesday,20,87,18.2,0
1ère avenue / Rosemont,Rosemont - La Petite-Patrie,7,14,Friday,11,76,21.3,0
Jeanne-d'Arc / Ontario,Mercier - Hochelaga-Maisonneuve,8,16,Wednesday,15,116,21.9,0.4
41e avenue / Rosemont,Rosemont - La Petite-Patrie,7,14,Friday,8,28,21.3,0
Darling / Sherbrooke,Rosemont - La Petite-Patrie,7,23,Sunday,3,66,22.3,0
St-Dominique / de Bellechasse,Rosemont - La Petite-Patrie,10,10,Tuesday,19,96,10.7,0.2
Gare Lachine (Sir George Simpson / 48e avenue),Lachine,7,26,Wednesday,0,7,24.9,0
Métro Honoré-Beaugrand (Sherbrooke / Honoré-Beaugrand),Mercier - Hochelaga-Maisonneuve,7,29,Saturday,1,38,16.2,0.2
Jeanne-Mance / Beaubien,Rosemont - La Petite-Patrie,10,15,Sunday,0,49,9.5,0
Dubois / Eadie,Le Sud-Ouest,7,14,Friday,10,50,21.3,0
